post_id,user_id,text,timestamp
p1,u1,Trying pills for the first time haha.,2024-04-12
p2,u1,You are so ugly lol.,2024-03-22
p3,u1,Practicing for my football match.,2024-04-21
p4,u1,"You are a loser, everyone knows it.",2024-04-06
p5,u1,"Smoking every day now, feels great.",2024-03-22
p6,u1,Practicing for my football match.,2024-04-15
p7,u2,Had a great day with friends!,2024-03-09
p8,u2,Practicing for my football match.,2024-03-15
p9,u2,Practicing for my football match.,2024-03-30
p10,u2,Watching movies with family.,2024-03-29
p11,u2,"You are a loser, everyone knows it.",2024-04-12
p12,u2,Watching movies with family.,2024-04-07
p13,u3,Watching movies with family.,2024-04-08
p14,u3,Watching movies with family.,2024-04-30
p15,u3,Watching movies with family.,2024-03-12
p16,u3,"You can trust me, I’m older and I know better.",2024-03-04
p17,u3,Exam went well today.,2024-03-17
p18,u3,Had a great day with friends!,2024-04-21
p19,u4,Had a great day with friends!,2024-03-15
p20,u4,Watching movies with family.,2024-03-23
p21,u4,"You can trust me, I’m older and I know better.",2024-03-05
p22,u4,Practicing for my football match.,2024-03-06
p23,u4,Had a great day with friends!,2024-03-02
p24,u4,Watching movies with family.,2024-03-14
p25,u5,Exam went well today.,2024-04-26
p26,u5,Practicing for my football match.,2024-03-07
p27,u5,Practicing for my football match.,2024-04-03
p28,u5,"You are a loser, everyone knows it.",2024-03-22
p29,u5,You are so ugly lol.,2024-04-27
p30,u5,Watching movies with family.,2024-04-27
p31,u6,Sometimes I just want to disappear.,2024-03-15
p32,u6,I feel like nothing matters anymore.,2024-04-01
p33,u6,Watching movies with family.,2024-03-21
p34,u6,"You can trust me, I’m older and I know better.",2024-03-25
p35,u6,Had a great day with friends!,2024-04-15
p36,u6,Watching movies with family.,2024-03-08
p37,u7,"Smoking every day now, feels great.",2024-03-26
p38,u7,Studying hard for JEE.,2024-04-21
p39,u7,"Smoking every day now, feels great.",2024-03-30
p40,u7,Exam went well today.,2024-04-02
p41,u7,Exam went well today.,2024-03-18
p42,u7,Watching movies with family.,2024-04-26
p43,u8,Had a great day with friends!,2024-03-01
p44,u8,Practicing for my football match.,2024-03-27
p45,u8,Exam went well today.,2024-03-17
p46,u8,Practicing for my football match.,2024-04-14
p47,u8,Watching movies with family.,2024-03-01
p48,u8,Studying hard for JEE.,2024-04-26
p49,u9,Watching movies with family.,2024-04-26
p50,u9,Studying hard for JEE.,2024-03-19
p51,u9,Practicing for my football match.,2024-03-06
p52,u9,I have not eaten properly in days.,2024-04-19
p53,u9,You are so ugly lol.,2024-04-10
p54,u9,"You are a loser, everyone knows it.",2024-03-07
p55,u10,Exam went well today.,2024-04-06
p56,u10,Watching movies with family.,2024-03-04
p57,u10,"Nobody likes you, just leave.",2024-03-25
p58,u10,Studying hard for JEE.,2024-03-03
p59,u10,Sometimes I just want to disappear.,2024-04-06
p60,u10,Exam went well today.,2024-03-27
p61,u11,Got so drunk last night lol.,2024-03-30
p62,u11,Got so drunk last night lol.,2024-04-22
p63,u11,Watching movies with family.,2024-04-20
p64,u11,Watching movies with family.,2024-03-13
p65,u11,Watching movies with family.,2024-04-29
p66,u11,Got so drunk last night lol.,2024-03-19
p67,u12,Exam went well today.,2024-03-29
p68,u12,"You can trust me, I’m older and I know better.",2024-03-20
p69,u12,Studying hard for JEE.,2024-04-25
p70,u12,Watching movies with family.,2024-04-05
p71,u12,Studying hard for JEE.,2024-04-02
p72,u12,Studying hard for JEE.,2024-04-30
p73,u13,Practicing for my football match.,2024-04-21
p74,u13,Keep our chats secret okay?,2024-04-07
p75,u13,Got so drunk last night lol.,2024-03-21
p76,u13,Had a great day with friends!,2024-03-15
p77,u13,Exam went well today.,2024-03-14
p78,u13,"You can trust me, I’m older and I know better.",2024-04-10
p79,u14,Studying hard for JEE.,2024-03-06
p80,u14,Studying hard for JEE.,2024-03-13
p81,u14,Studying hard for JEE.,2024-03-09
p82,u14,Exam went well today.,2024-04-23
p83,u14,Trying pills for the first time haha.,2024-04-08
p84,u14,Studying hard for JEE.,2024-03-01
p85,u15,Watching movies with family.,2024-03-24
p86,u15,Watching movies with family.,2024-04-03
p87,u15,Had a great day with friends!,2024-04-16
p88,u15,I have not eaten properly in days.,2024-04-28
p89,u15,Studying hard for JEE.,2024-03-30
p90,u15,Watching movies with family.,2024-04-04
p91,u16,Keep our chats secret okay?,2024-04-10
p92,u16,Exam went well today.,2024-03-05
p93,u16,"You are a loser, everyone knows it.",2024-03-28
p94,u16,Watching movies with family.,2024-04-12
p95,u16,Sometimes I just want to disappear.,2024-03-26
p96,u16,Keep our chats secret okay?,2024-03-27
p97,u17,Studying hard for JEE.,2024-03-12
p98,u17,I have not eaten properly in days.,2024-04-05
p99,u17,Exam went well today.,2024-03-30
p100,u17,Watching movies with family.,2024-03-15
p101,u17,Practicing for my football match.,2024-04-10
p102,u17,Practicing for my football match.,2024-03-16
p103,u18,Had a great day with friends!,2024-03-25
p104,u18,Keep our chats secret okay?,2024-04-09
p105,u18,"Smoking every day now, feels great.",2024-03-11
p106,u18,Studying hard for JEE.,2024-04-02
p107,u18,Had a great day with friends!,2024-04-15
p108,u18,"Nobody likes you, just leave.",2024-03-25
p109,u19,Got so drunk last night lol.,2024-03-01
p110,u19,You are so ugly lol.,2024-04-05
p111,u19,Watching movies with family.,2024-04-16
p112,u19,Watching movies with family.,2024-03-12
p113,u19,Practicing for my football match.,2024-04-09
p114,u19,Keep our chats secret okay?,2024-04-13
p115,u20,Practicing for my football match.,2024-03-11
p116,u20,Exam went well today.,2024-04-20
p117,u20,"Nobody likes you, just leave.",2024-04-17
p118,u20,Exam went well today.,2024-04-15
p119,u20,Don't tell your parents we talk here.,2024-03-12
p120,u20,Watching movies with family.,2024-04-26
